TRM250,0.37,2850,86,400,441,195,526,175,76,315,185,219,255,8,207,148,277,218,251,200,26,470,680,930,1190,1330
TRM280R,0.55,2850,95,420,477,200,610,202,86,375,205,241,275,8,231,166,301,236,251,200,30,680,830,1080,1330,1900
TRM280,0.75,2850,95,440,477,200,610,202,86,375,205,241,275,8,231,166,301,236,251,200,32,750,930,1190,1500,1900
TRM310R,1.1,2850,105,460,527,225,658,229,96,400,228,265,298,8,258,185,328,255,251,200,41,1080,1330,1700,2150,2700
TRM310,1.5,2850,105,480,527,225,658,229,96,400,228,265,298,8,258,185,328,255,276,225,44,930,1190,1500,1900,2700
TRM350R,1.5,2900,115,500,600,255,740,253,107,450,255,292,325,8,288,205,368,285,276,225,66,1330,1900,2400,3050,3850
TRM350,2.2,2900,115,530,600,255,740,253,107,450,255,292,325,8,288,205,368,285,276,225,69,1330,1900,2400,3050,3850
TRM400R,3,2900,127,590,655,285,815,286,118,500,285,332,365,8,322,229,402,309,324,280,107,1900,2700,3450,4750,6150
TRM400,4,2900,127,630,655,285,815,286,118,500,285,332,365,8,322,229,402,309,324,280,110,1900,2700,3850,4750,6150
TRM450R,5.5,2900,141,670,735,320,915,321,131,560,320,366,400,8,361,256,441,336,374,320,150,2700,3850,4750,6150,8500
TRM450,7.5,2900,141,670,735,320,915,321,131,560,320,366,400,8,361,256,441,336,374,320,158,3060,4250,5400,6850,8500
TRM500/2R,11,2900,157,830,832,360,1000,355,148,600,360,405,440,8,404,288,484,368,444,435,235,3850,5400,6850,9500,12000
TRM500/2,15,2900,157,830,832,360,1000,355,148,600,360,405,440,8,404,288,484,368,444,435,246,3850,5400,6850,9500,12000
TRM500/4R,1.1,1440,157,580,832,360,1000,355,148,600,360,405,440,8,404,288,484,368,276,225,133,1900,2700,3450,4250,5400
TRM500/4,1.5,1440,157,615,832,360,1000,355,148,600,360,405,440,8,404,288,484,368,276,225,135,1900,2700,3450,4250,5400
TRM560/2R,15,2900,177,880,940,400,1126,390,165,670,405,448,485,12,453,322,533,402,444,435,286,5400,6850,9500,12000,15300
TRM560/2,18.5,2900,177,935,940,400,1126,390,165,670,405,448,485,12,453,322,533,402,490,480,315,5400,6850,9500,12000,17000
TRM560/4R,2.2,1440,177,705,940,400,1126,390,165,670,405,448,485,12,453,322,533,402,324,280,141,2700,3450,4250,5400,7650
TRM560/4,3,1440,177,705,940,400,1126,390,165,670,405,448,485,12,453,322,533,402,324,280,145,2700,3450,4250,5400,7650
TRM630/4R,4,1440,195,775,1053,450,1260,439,185,750,455,497,535,12,507,361,587,441,324,280,178,3850,5400,7650,9500,12000
TRM630/4,5.5,1440,195,815,1053,450,1260,439,185,750,455,497,535,12,507,361,587,441,374,320,191,3850,5400,7650,9500,12000
TRM710/4R,7.5,1440,216,880,1190,500,1416,500,202,850,505,551,585,12,569,404,669,504,826,320,285,5400,7650,9500,12000,17000
TRM710/4,11,1440,216,960,1190,500,1416,500,202,850,505,551,585,12,569,404,669,504,826,435,309,5400,7650,9500,12000,17000
TRM800/4R,15,1440,241,1010,1340,560,1591,560,226,950,565,629,665,12,638,453,738,553,926,435,400,7650,10800,13500,17000,24200
TRM800/4,18.5,1440,241,1050,1340,560,1591,560,226,950,565,629,665,12,638,453,738,553,926,480,430,7650,10800,13500,17000,24200
TRM800/6R,4,950,241,940,1340,560,1591,560,226,950,565,629,665,12,638,453,738,553,926,320,330,4750,6150,8500,10800,15300
TRM800/6,5.5,950,241,940,1340,560,1591,560,226,950,565,629,665,12,638,453,738,553,926,320,340,4750,6150,8500,10800,15300
TRM900/4R1,22,1440,275,1230,1500,630,1780,630,253,1060,635,698,735,12,715,507,815,607,1026,500,580,10800,13500,19000,24200,34200
TRM900/4R,30,1440,275,1260,1500,630,1780,630,253,1060,635,698,735,12,715,507,815,607,1026,550,620,10800,13500,19000,24200,34200
TRM900/4,37,1440,275,1260,1500,630,1780,630,253,1060,635,698,735,12,715,507,815,607,1026,550,650,10800,13500,19000,24200,34200
TRM900/6R,7.5,950,275,1070,1500,630,1780,630,253,1060,635,698,735,12,715,507,815,607,1026,435,465,6850,8500,10800,15300,21600
TRM900/6,11,950,275,1070,1500,630,1780,630,253,1060,635,698,735,12,715,507,815,607,1026,435,497,6850,8500,10800,15300,21600
TRM1000/4R,45,1440,308,1320,1685,710,1993,710,284,1180,715,775,815,16,801,569,921,689,1128,550,760,15300,21600,30600,38200,47500
TRM1000/4,55,1440,308,1380,1685,710,1993,710,284,1180,715,775,815,16,801,569,921,689,1128,600,830,15300,21600,30600,38200,47500
TRM1000/6R,15,950,308,1230,1685,710,1993,710,284,1180,715,775,815,16,801,569,921,689,1128,480,652,9500,13500,19000,24200,30600
TRM1000/6,18.5,950,308,1300,1685,710,1993,710,284,1180,715,775,815,16,801,569,921,689,1128,500,679,9500,13500,19000,24200,30600
TRM1120/4R,75,1440,350,1620,1884,800,2222,800,319,1320,805,861,905,16,898,638,1018,758,1268,690,1222,21600,30600,38200,47500,68500
TRM1120/4,90,1440,350,1620,1884,800,2222,800,319,1320,805,861,905,16,898,638,1018,758,1268,690,1257,21600,30600,38200,47500,68500
TRM1120/6R,22,950,350,1390,1884,800,2222,800,319,1320,805,861,905,16,898,638,1018,758,1268,500,996,13500,19000,24200,30600,42500
TRM1120/6,30,950,350,1410,1884,800,2222,800,319,1320,805,861,905,16,898,638,1018,758,1268,550,1045,13500,19000,24200,30600,42500
TRU280/2,0.55,2820,95,420,477,200,610,202,86,375,228,265,298,8,231,166,301,236,251,200,30,680,830,1190,1500,1900
TRU310/2,1.1,2840,105,460,527,225,658,229,96,400,255,292,325,8,258,185,328,255,251,200,40,930,1330,1700,2150,2700
TRU350/2,2.2,2850,115,530,600,255,740,253,107,450,285,332,365,8,288,205,368,285,276,225,67,1330,1900,2400,3050,3850
TRU400/2,4,2910,127,630,655,285,815,286,118,500,320,366,400,8,322,229,402,309,324,280,105,1900,2700,3450,4250,5400
TRU450/2,7.5,2890,140,670,735,320,915,321,131,560,360,405,440,8,361,256,441,336,374,320,150,2700,3850,4750,6150,7650
TRU500/2,11,2930,159,830,832,360,1000,355,148,600,405,448,485,12,404,288,484,368,444,435,230,3850,4750,6850,8500,10800
TRU500/4,1.1,1390,159,580,832,360,1000,355,148,600,405,448,485,12,404,288,484,368,276,225,128,1900,2700,3450,4250,5400
TRU560/2R,15,2935,180,880,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,444,435,282,5400,6850,8500,10800,13500
TRU560/2,18.5,2935,180,880,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,444,435,292,5400,7650,9500,12800,15300
TRU560/4,2.2,1420,180,705,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,324,280,138,2700,3850,4750,6150,7650
TRU630/2R,30,2960,200,1080,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,568,500,380,7650,9500,12800,15300,19000
TRU630/2,37,2960,200,1080,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,568,500,390,7650,10800,13500,17000,21600
TRU630/4,4,1425,200,775,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,324,280,175,3850,4750,6850,8500,10800
TRU710/4R,5.5,1440,221,880,1189,500,1416,500,202,850,565,629,665,12,569,404,669,504,826,320,270,5400,6850,8500,10800,13500
TRU710/4,7.5,1450,221,920,1189,500,1416,500,202,850,565,629,665,12,569,404,669,504,826,320,281,5400,7650,9500,12800,15300
TRU800/4R,9.2,1460,246,940,1340,560,1591,560,226,950,635,698,735,12,638,453,738,553,926,320,327,7650,9500,12800,15300,19000
TRU800/4,15,1450,246,1010,1340,560,1591,560,226,950,635,698,735,12,638,453,738,553,926,435,397,7650,10800,13500,17000,21600
TRU900/4R,18.5,1470,277,1110,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,480,416,10800,13500,17000,21600,27000
TRU900/4,30,1470,277,1230,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,500,671,10800,15300,19000,24200,30600
TRU900/6,7.5,965,277,1070,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,435,486,7650,10800,13500,17000,21600
TRU1000/4R,37,1475,308,1295,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,550,749,15300,19000,24200,30600,38200
TRU1000/6R,11,965,308,1190,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,435,612,10800,13500,17000,21600,27000
TRU1000/6,15,965,308,1230,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,480,642,10800,15300,19000,24200,30600
TRU1120/6R,18.5,970,343,1390,1884,800,2222,800,319,1320,905,958,1005,16,898,638,1018,758,1268,500,967,15300,19000,24200,30600,38200
TRU1120/6,22,970,343,1390,1884,800,2222,800,319,1320,905,958,1005,16,898,638,1018,758,1268,550,987,15300,21600,27000,34200,42500
VPMR350/N2R1,0.75,2830,71,370,535,250,615,205,63,355,185,219,250,8,166,117,236,187,251,180,32,360,576,792,1044,1296
VPMR350/N2,1.1,2840,71,370,535,250,615,205,63,355,185,219,250,8,166,117,236,187,251,180,36,360,576,792,1152,1656
VPMR400/N2R1,1.5,2840,78,425,590,280,658,228,70,375,205,241,275,8,185,131,255,201,276,205,48,576,792,1152,1476,1872
VPMR400/N2,2.2,2850,78,425,590,280,658,228,70,375,205,241,275,8,185,131,255,201,276,205,52,576,792,1152,1656,2376
VPMR450/N2R1,3,2900,86,510,645,300,715,254,78,400,228,265,298,8,207,148,277,218,324,250,63,792,1152,1656,2124,2664
VPMR450/N2,4,2910,86,510,645,300,715,254,78,400,228,265,298,8,207,148,277,218,324,250,78,792,1152,1656,2376,3384
VPMR500/N2R1,5.5,2910,95,585,715,335,795,285,89,450,255,292,325,8,231,166,301,236,374,250,106,1152,1656,2124,2664,3384
VPMR500/N2,7.5,2910,95,585,715,335,795,285,89,450,255,292,325,8,231,166,301,236,374,300,106,1152,1656,2376,3384,4680
VPMR560/N2R1,9.2,2910,105,605,805,375,890,323,99,500,285,332,365,8,258,185,328,255,374,300,143,1656,2376,3024,3780,4680
VPMR560/N2,11,2920,105,740,805,375,890,323,99,500,285,332,365,8,258,185,328,255,444,415,141,1656,2376,3384,4680,6480
VPMR630/N2R1,15,2925,105,760,910,425,1000,381,99,560,320,366,400,8,258,185,328,255,444,415,193,2376,3384,4140,5220,6480
VPMR630/N2,18.5,2925,105,760,910,425,1000,381,99,560,320,366,400,8,258,185,328,255,444,415,206,2376,3384,4680,6480,9360
VPMR710/N2R1,22,2930,115,785,1015,475,1122,426,108,630,360,405,440,8,288,205,368,285,490,460,276,3384,4140,5220,6480,8280
VPMR710/N2,30,2945,115,860,1015,475,1122,426,108,630,360,405,440,8,288,205,368,285,568,500,396,3384,4680,6480,9360,11998
VPMR710/N4R1,4,1425,115,585,1015,475,1122,426,108,630,360,405,440,8,288,205,368,285,324,250,186,1656,2124,2664,3384,4140
VPMR710/N4,5.5,1440,115,650,1015,475,1122,426,108,630,360,405,440,8,288,205,368,285,374,300,196,1656,2376,3384,4680,5940
VPMR800/N2R1,37,2945,127,885,1140,530,1265,481,122,710,405,448,485,12,322,229,402,309,568,500,436,4680,5940,7560,9360,11988
VPMR800/N2,55,2960,127,960,1140,530,1265,481,122,710,405,448,485,12,322,229,402,309,690,600,550,4680,6480,9360,13320,18720
VPMR800/N4R1,7.5,1450,127,675,1140,530,1265,481,122,710,405,448,485,12,322,229,402,309,374,300,286,2376,3024,3780,4680,5940
VPMR800/N4,9.2,1460,127,675,1140,530,1265,481,122,710,405,448,485,12,322,229,402,309,374,300,291,2376,3384,4680,6480,8280
VPMR900/N2R1,75,2960,140,1115,1285,600,1428,542,136,800,455,497,535,12,361,256,441,336,750,690,802,6480,9360,11988,15120,18720
VPMR900/N2,90,2960,140,1115,1285,600,1428,542,136,800,455,497,535,12,361,256,441,336,750,690,841,6480,9360,13320,16920,21240
VPMR900/N4R1,11,1455,140,835,1285,600,1428,542,136,800,455,497,535,12,361,256,441,336,444,415,456,3384,4140,5220,6480,8280
VPMR900/N4,15,1460,140,835,1285,600,1428,542,136,800,455,497,535,12,361,256,441,336,444,415,466,3384,4680,6480,9360,11988
VPMR1000/N2R1,110,2965,160,1150,1430,670,1590,607,152,900,505,551,585,12,404,288,484,368,865,800,1085,9360,11988,15120,18720,21240
VPMR1000/N2,160,2975,160,1290,1430,670,1590,607,152,900,505,551,585,12,404,288,484,368,865,800,1115,9360,13320,18720,26640,33840
VPMR1000/N4R1,18.5,1460,160,870,1430,670,1590,607,152,900,505,551,585,12,404,288,484,368,490,460,586,4680,5940,7560,9360,11988
VPMR1000/N4,22,1465,160,945,1430,670,1590,607,152,900,505,551,585,12,404,288,484,368,490,460,626,4680,6480,9360,13320,16920
TGR400/2,2.2,2850,105,490,655,285,815,319,95,500,255,292,325,8,258,185,328,255,276,225,73,1330,1700,2150,2700,3050
TGR400/2,3,2900,105,560,655,285,815,319,95,500,255,292,325,8,258,185,328,255,324,280,81,1330,1900,2700,3850,4750
TGR450/2,4,2910,115,585,735,320,915,357,106,560,285,332,365,8,288,205,368,285,324,280,99,1900,2400,3050,3850,4250
TGR450/2,5.5,2890,115,647,735,320,915,357,106,560,285,332,365,8,288,205,368,285,372,320,112,1900,2700,3850,5400,6850
TGR500/2,7.5,2890,127,671,832,360,1000,396,118,600,320,366,400,8,322,229,402,309,372,320,145,2700,3450,4250,5400,6150
TGR500/2,11,2930,127,807,832,360,1000,396,118,600,320,366,400,8,322,229,402,309,444,435,203,2700,3850,5400,7650,9500
TGR560/2,11,2930,142,847,940,400,1126,436,132,670,360,405,440,8,361,256,441,336,444,435,227,3850,4750,6150,7650,8500
TGR560/2,15,2935,142,847,940,400,1126,436,132,670,360,405,440,8,361,256,441,336,444,435,240,3850,5400,7650,10800,13500
TGR560/4,1.5,1400,142,579,940,400,1126,436,132,670,360,405,440,8,361,256,441,336,260,225,137,1700,2400,3050,3850,4250
TGR560/4,2.2,1420,142,649,940,400,1126,436,132,670,360,405,440,8,361,256,441,336,324,280,144,1900,2700,3850,5400,6850
TGR630/2,22,2940,158,954,1052,450,1260,490,148,750,405,448,485,12,404,288,484,368,488,480,311,5400,6850,8500,10800,12000
TGR630/2,30,2950,158,954,1052,450,1260,490,148,750,405,448,485,12,404,288,484,368,568,500,364,5400,7650,10800,15300,19000
TGR630/4,3,1430,158,681,1052,450,1260,490,148,750,405,448,485,12,404,288,484,368,324,280,147,2700,3450,4250,5400,6150
TGR630/4,4,1425,158,681,1052,450,1260,490,148,750,405,448,485,12,404,288,484,368,324,280,155,2700,3850,5400,7650,9500
TGR710/2,37,2950,185,995,1189,500,1416,558,161,850,455,497,535,12,453,322,533,402,826,500,440,7650,9500,12000,15300,17000
TGR710/2,45,2950,185,1072,1189,500,1416,558,161,850,455,497,535,12,453,322,533,402,826,550,481,7650,10800,15300,21600,27000
TGR710/4,4,1425,185,722,1189,500,1416,558,161,850,455,497,535,12,453,322,533,402,826,280,246,3850,4750,6150,7650,8500
TGR710/4,5.5,1440,185,784,1189,500,1416,558,161,850,455,497,535,12,453,322,533,402,826,320,258,3850,5400,7650,10800,13500
TGR800/2,75,2950,199,1260,1340,560,1591,625,180,950,505,551,585,12,507,361,587,441,926,690,603,10800,13500,17000,21600,24200
TGR800/2,90,2950,199,1260,1340,560,1591,625,180,950,505,551,585,12,507,361,587,441,926,690,694,10800,15300,21600,30600,38200
TGR800/4,7.5,1450,199,842,1340,560,1591,625,180,950,505,551,585,12,507,361,587,441,926,320,331,5400,6850,8500,10800,12000
TGR800/4,11,1450,199,978,1340,560,1591,625,180,950,505,551,585,12,507,361,587,441,926,435,389,5400,7650,10800,15300,19000
TGR900/2,132,2960,221,1446,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,800,938,15300,19000,24200,30600,34200
TGR900/2,160,2960,221,1446,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,800,964,15300,21600,30600,42500,54000
TGR900/4,15,1450,221,1022,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,435,478,7650,9500,12000,15300,17000
TGR900/4,22,1470,221,1097,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,480,534,7650,10800,15300,21600,27000
TGR900/6,4,960,221,886,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,320,388,4750,6150,7650,9500,10800
TGR900/6,5.5,960,221,886,1500,630,1780,703,202,1060,565,629,665,12,569,404,669,504,1026,320,399,4750,6850,9500,13500,17000
TGR1000/4,30,1470,246,1165,1685,710,1993,791,226,1180,635,698,735,12,638,453,738,553,1128,500,671,10800,13500,17000,21600,24200
TGR1000/4,37,1475,246,1242,1685,710,1993,791,226,1180,635,698,735,12,638,453,738,553,1128,550,713,10800,15300,21600,30600,38200
TGR1000/6,7.5,965,246,1090,1685,710,1993,791,226,1180,635,698,735,12,638,453,738,553,1128,435,556,6850,8500,10800,13500,15300
TGR1000/6,11,965,246,1090,1685,710,1993,791,226,1180,635,698,735,12,638,453,738,553,1128,435,587,6850,9500,13500,19000,24200
TGR1120/4,45,1475,277,1296,1884,800,2222,891,253,1320,715,775,815,16,715,507,815,607,1268,550,985,15300,19000,24200,30600,34200
TGR1120/4,55,1475,277,1296,1884,800,2222,891,253,1320,715,775,815,16,715,507,815,607,1268,600,1056,15300,21600,30600,42500,54000
TGR1120/6,15,965,277,1219,1884,800,2222,891,253,1320,715,775,815,16,715,507,815,607,1268,480,825,9500,12000,15300,19000,21600
TGR1120/6,18.5,970,277,1219,1884,800,2222,891,253,1320,715,775,815,16,715,507,815,607,1268,500,906,9500,13500,19000,27000,34200
TGR1250/4,75,1475,310,1489,2116,900,2517,1003,284,1500,805,861,905,16,801,569,921,689,1400,690,1356,21600,27000,34200,42500,47500
TGR1250/4,110,1480,310,1489,2116,900,2517,1003,284,1500,805,861,905,16,801,569,921,689,1400,800,1392,21600,30600,42500,61000,76500
TGR1250/6,22,970,310,1282,2116,900,2517,1003,284,1500,805,861,905,16,801,569,921,689,1400,500,1111,13500,17000,21600,27000,30600
TGR1250/6,30,970,310,1359,2116,900,2517,1003,284,1500,805,861,905,16,801,569,921,689,1400,550,1182,13500,19000,27000,38200,47500
RS280/2,1.1,2840,105,450,477,200,610,172,105,375,285,332,365,8,288,205,368,285,251,200,43,1330,1900,2400,3050,3850
RS310/2,2.2,2850,117,539,527,225,658,196,117,400,320,366,400,8,322,229,402,309,276,225,52,1900,2700,3450,4250,5400
RS310/4,0.18,1310,117,454,527,225,658,196,117,400,320,366,400,8,322,229,402,309,276,225,42,930,1330,1700,2150,2700
RS350/2,3,2900,130,636,600,255,740,216,131,450,360,405,440,8,361,256,441,336,324,280,80,2700,3450,4750,6150,7650
RS350/4,0.37,1360,130,506,600,255,740,216,131,450,360,405,440,8,361,256,441,336,251,200,65,1330,1900,2400,3050,3850
RS400/2,4,2900,147,668,655,285,815,245,147,500,405,448,485,12,404,288,484,368,324,280,95,3850,4750,6150,7650,9500
RS400/2,5.5,2900,147,730,655,285,815,245,147,500,405,448,485,12,404,288,484,368,374,300,108,3850,5400,7650,9500,12000
RS400/4,0.55,1370,147,558,655,285,815,245,147,500,405,448,485,12,404,288,484,368,251,175,75,1900,2700,3450,4250,5400
RS450/2,7.5,2900,163,764,735,320,915,275,165,560,455,497,535,12,453,322,533,402,374,320,124,5400,6850,8500,10800,13500
RS450/2,11,2930,163,900,735,320,915,275,165,560,455,497,535,12,453,322,533,402,444,435,160,5400,7650,10800,13500,17000
RS450/4,0.75,1380,163,592,735,320,915,275,165,560,455,497,535,12,453,322,533,402,251,200,89,2700,3450,4250,5400,6850
RS450/4,1.1,1390,163,632,735,320,915,275,165,560,455,497,535,12,453,322,533,402,276,225,94,2700,3850,4750,6150,7650
RS500/2,15,2940,183,939,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,444,435,187,7650,9500,12000,15300,19000
RS500/2,18.5,2940,183,939,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,444,435,196,7650,10800,15300,19000,24200
RS500/4,1.5,1400,183,671,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,276,225,123,3850,4750,6150,7650,9500
RS500/4,2.2,1420,183,741,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,324,280,129,3850,5400,6850,8500,10800
RS500/6,0.37,930,183,631,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,251,200,115,2400,3050,3850,4750,6150
RS500/6,0.55,930,183,631,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,251,200,116,2400,3450,4250,5400,6850
RS560/4,3,1430,205,797,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,324,280,141,5400,6850,8500,10800,13500
RS560/4,4,1430,205,797,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,324,280,146,5400,7650,10800,13500,17000
RS560/6,0.75,930,205,727,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,276,225,131,3450,4250,5400,6850,8500
RS560/6,1.1,930,205,727,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,276,225,133,3450,4750,6150,7650,9500
RS630/4,5.5,1440,230,908,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,374,320,190,7650,9500,12000,15300,19000
RS630/4,7.5,1450,230,908,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,374,320,204,7650,10800,15300,19000,24200
RS630/6,1.5,950,230,846,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,324,280,173,4750,6150,7650,9500,12000
RS630/6,2.2,950,230,846,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,324,280,179,4750,6850,9500,12000,15300
RS710/4,11,1450,257,1105,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,444,435,315,10800,13500,17000,21600,27000
RS710/4,15,1450,257,1105,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,444,435,326,10800,15300,21600,27000,34200
RS710/6,3,950,257,969,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,374,320,276,6850,8500,10800,13500,17000
RS710/6,4,960,257,969,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,374,320,286,6850,9500,13500,17000,21600
